0,1,2,3,4,5
106043,Diego Sebastian,Schwartzman,R,19920816.0,ARG
106045,Denis,Kudla,R,19920817.0,USA
106049,Ivan,Sabanov,R,19920825.0,CRO
106051,Shalva,Dzhanashia,L,19920826.0,RUS
106057,Facundo,Mena,R,19920922.0,ARG
106058,Jack,Sock,R,19920924.0,USA
106059,Michel,Vernier,R,19920927.0,CHI
106061,Pavel,Krainik,R,19920928.0,CAN
106064,Lucas,Renard,R,19920930.0,SWE
106065,Marco,Cecchinato,R,19920930.0,ITA
106071,Bernard,Tomic,R,19921021.0,AUS
106072,Alexey,Vatutin,U,19921027.0,RUS
106074,Jung Woong,Na,U,19921031.0,KOR
106075,Jozef,Kovalik,R,19921104.0,SVK
106078,Egor,Gerasimov,R,19921111.0,BLR
106085,Hamid,Reza Nadaf,R,19921119.0,IRI
106099,Salvatore,Caruso,R,19921215.0,ITA
106105,Guilherme,Clezar,R,19921231.0,BRA
106106,George,Tsivadze,U,19930102.0,GEO
106109,Alex,Bolt,L,19930105.0,AUS
106110,Filip,Horansky,R,19930107.0,SVK
106117,Carlos,Boluda Purkiss,R,19930122.0,ESP
106120,Ricardo,Ojeda Lara,U,19930126.0,ESP
106121,Taro,Daniel,R,19930127.0,JPN
106129,Dragos,Constantin Ignat,R,19930213.0,ROU
106132,Toby,Martin,R,19930219.0,GBR
106137,Tristan,Lamasine,R,19930305.0,FRA
106138,Yaraslau,Shyla,R,19930305.0,BLR
106148,Roberto,Carballes Baena,R,19930323.0,ESP
106149,Maciej,Smola,R,19930324.0,POL
106150,Jeson,Patrombon,R,19930327.0,PHI
106154,Duje,Kekez,R,19930330.0,CRO
106156,Sebastien,Boltz,R,19930405.0,FRA
106160,Aliaksandr,Bulitski,R,19930414.0,BLR
106162,Franco,Agamenone,U,19930415.0,ARG
106164,Tomas,Lipovsek Puches,U,19930417.0,ARG
106165,Diego,Hidalgo,U,19930418.0,ECU
106168,Sidharth,Rawat,U,19930421.0,IND
